task_id,resource_id
T1,R5
T1,R20
T1,R279
T1,R939
T2,R541
T2,R919
T2,R3
T2,R3
T3,R440
T3,R268
T3,R661
T3,R94
T3,R142
T3,R3
T4,R840
T4,R24
T4,R3
T4,R5
T4,R37
T5,R3
T5,R3
T5,R836
T6,R3
T6,R5
T7,R930
T7,R3
T7,R3
T7,R3
T7,R3
T8,R3
T8,R115
T8,R451
T8,R983
T8,R5
T9,R909
T9,R425
T9,R497
T9,R3
T10,R5
T10,R826
T10,R5
T10,R276
T11,R45
T11,R3
T11,R725
T11,R593
T11,R351
T11,R3
T12,R224
T12,R695
T12,R3
T13,R3
T13,R730
T13,R958
T13,R633
T13,R385
T13,R531
T14,R3
T14,R142
T14,R532
T14,R3
T14,R122
T15,R192
T15,R592
T15,R106
T15,R3
T15,R175
T16,R5
T16,R434
T16,R5
T16,R5
T17,R3
T17,R279
T17,R404
T18,R441
T18,R3
T18,R3
T18,R3
T18,R487
T18,R238
T19,R272
T19,R728
T19,R5
T20,R672
T20,R847
T20,R236
T20,R3
T20,R879
T20,R643
T21,R970
T21,R310
T21,R644
T21,R5
T21,R5
T22,R66
T22,R3
T23,R3
T23,R70
T23,R3
T23,R3
T24,R280
T24,R5
T25,R604
T25,R3
T25,R555
T25,R5
T25,R745
T25,R5
T26,R925
T26,R426
T27,R565
T27,R136
T27,R104
T27,R195
T27,R424
T27,R802
T28,R618
T28,R996
T29,R803
T29,R3
T29,R901
T30,R351
T30,R358
T31,R11
T31,R814
T32,R3
T32,R290
T32,R119
T32,R365
T33,R3
T33,R958
T33,R325
T34,R445
T34,R3
T34,R894
T35,R551
T35,R772
T35,R18
T35,R343
T36,R3
T36,R5
T36,R139
T36,R3
T37,R3
T37,R390
T37,R264
T38,R447
T38,R796
T38,R191
T38,R330
T38,R5
T39,R5
T39,R248
T39,R5
T39,R833
T40,R187
T40,R5
T40,R984
T40,R3
T40,R5
T40,R5
T41,R400
T41,R375
T41,R739
T41,R641
T41,R3
T41,R569
T42,R3
T42,R700
T42,R810
T43,R557
T43,R3
T44,R433
T44,R856
T45,R586
T45,R883
T46,R965
T46,R198
T46,R180
T46,R471
T46,R3
T46,R601
T47,R653
T47,R977
T48,R1000
T48,R783
T48,R485
T49,R3
T49,R5
T50,R5
T50,R577
T50,R949
T50,R287
T51,R3
T51,R5
T51,R417
T51,R562
T52,R330
T52,R820
T52,R379
T53,R914
T53,R509
T53,R313
T54,R5
T54,R5
T54,R3
T54,R398
T54,R330
T54,R141
T55,R5
T55,R931
T55,R3
T56,R121
T56,R905
T56,R999
T56,R44
T56,R3
T56,R890
T57,R5
T57,R483
T57,R240
T57,R3
T58,R559
T58,R3
T59,R428
T59,R611
T59,R788
T59,R5
T59,R98
T60,R192
T60,R3
T60,R3
T61,R904
T61,R34
T61,R636
T62,R769
T62,R338
T62,R703
T62,R323
T62,R3
T62,R233
T63,R826
T63,R586
T64,R46
T64,R3
T65,R3
T65,R3
T65,R128
T65,R3
T66,R546
T66,R3
T66,R382
T67,R3
T67,R680
T67,R734
T67,R959
T67,R391
T67,R3
T68,R3
T68,R736
T68,R708
T68,R745
T68,R171
T68,R276
T69,R724
T69,R235
T69,R3
T70,R885
T70,R693
T70,R616
T70,R239
T70,R476
T70,R598
T71,R256
T71,R545
T71,R180
T71,R3
T71,R5
T71,R336
T72,R783
T72,R889
T72,R924
T72,R464
T72,R495
T72,R980
T73,R780
T73,R106
T74,R577
T74,R3
T75,R315
T75,R402
T75,R914
T75,R3
T75,R3
T76,R551
T76,R5
T76,R495
T76,R74
T77,R442
T77,R995
T77,R653
T77,R410
T77,R666
T78,R3
T78,R518
T79,R811
T79,R367
T79,R107
T80,R984
T80,R108
T81,R441
T81,R557
T81,R436
T82,R215
T82,R765
T82,R3
T82,R879
T82,R96
T82,R211
T83,R986
T83,R430
T83,R190
T84,R3
T84,R897
T84,R331
T84,R139
T84,R433
T85,R153
T85,R51
T85,R5
T85,R490
T86,R501
T86,R700
T86,R3
T87,R341
T87,R43
T87,R936
T87,R5
T88,R69
T88,R5
T89,R534
T89,R287
T89,R951
T89,R5
T89,R241
T89,R467
T90,R3
T90,R409
T90,R3
T91,R280
T91,R5
T91,R999
T91,R3
T91,R3
T92,R3
T92,R170
T92,R382
T92,R251
T92,R227
T93,R946
T93,R482
T93,R991
T93,R5
T94,R849
T94,R963
T94,R3
T94,R3
T94,R659
T94,R3
T95,R835
T95,R5
T95,R5
T95,R3
T95,R624
T95,R409
T96,R82
T96,R5
T96,R231
T97,R3
T97,R572
T97,R412
T97,R3
T98,R716
T98,R869
T99,R576
T99,R986
T99,R3
T99,R149
T99,R447
T100,R5
T100,R999
T100,R3
T101,R276
T101,R660
T101,R456
T101,R474
T101,R231
T101,R3
T102,R773
T102,R275
T103,R3
T103,R3
T103,R541
T103,R3
T103,R60
T103,R492
T104,R718
T104,R3
T105,R3
T105,R3
T105,R5
T105,R822
T105,R160
T105,R251
T106,R3
T106,R98
T106,R775
T107,R622
T107,R154
T107,R265
T108,R5
T108,R482
T109,R5
T109,R343
T109,R553
T109,R104
T109,R438
T109,R933
T110,R462
T110,R497
T111,R918
T111,R3
T111,R570
T111,R858
T112,R3
T112,R201
T112,R287
T113,R941
T113,R795
T113,R5
T113,R857
T113,R3
T113,R402
T114,R918
T114,R3
T114,R3
T114,R327
T114,R3
T115,R5
T115,R124
T115,R669
T116,R925
T116,R610
T116,R3
T117,R171
T117,R3
T117,R5
T117,R310
T117,R229
T118,R200
T118,R34
T118,R3
T118,R773
T119,R5
T119,R3
T119,R3
T119,R3
T119,R3
T120,R3
T120,R513
T120,R310
T120,R5
T121,R352
T121,R3
T121,R274
T121,R519
T122,R337
T122,R3
T123,R3
T123,R786
T123,R5
T123,R3
T123,R3
T123,R5
T124,R665
T124,R782
T124,R3
T124,R3
T124,R989
T124,R296
T125,R637
T125,R648
T125,R846
